0 1 0
0.01 0.999501 -0.0997338
0.02 0.998007 -0.198871
0.03 0.995526 -0.297315
0.04 0.992064 -0.394971
0.05 0.987629 -0.491747
0.06 0.982232 -0.587549
0.07 0.975882 -0.682288
0.08 0.96859 -0.775873
0.09 0.960369 -0.868218
0.1 0.95123 -0.959236
0.11 0.941188 -1.04884
0.12 0.930258 -1.13696
0.13 0.918455 -1.2235
0.14 0.905794 -1.30839
0.15 0.892293 -1.39155
0.16 0.877969 -1.47291
0.17 0.862841 -1.55239
0.18 0.846927 -1.62993
0.19 0.830249 -1.70545
0.2 0.812825 -1.7789
0.21 0.794678 -1.85021
0.22 0.775828 -1.91932
0.23 0.756299 -1.98616
0.24 0.736113 -2.0507
0.25 0.715293 -2.11286
0.26 0.693864 -2.17261
0.27 0.671849 -2.22989
0.28 0.649274 -2.28467
0.29 0.626164 -2.33689
0.3 0.602545 -2.38652
0.31 0.578443 -2.43352
0.32 0.553884 -2.47786
0.33 0.528894 -2.51951
0.34 0.503502 -2.55844
0.35 0.477735 -2.59462
0.36 0.451619 -2.62803
0.37 0.425184 -2.65865
0.38 0.398456 -2.68647
0.39 0.371464 -2.71148
0.4 0.344236 -2.73365
0.41 0.3168 -2.75298
0.42 0.289185 -2.76948
0.43 0.26142 -2.78313
0.44 0.233532 -2.79393
0.45 0.205551 -2.8019
0.46 0.177504 -2.80702
0.47 0.14942 -2.80933
0.48 0.121327 -2.80882
0.49 0.0932526 -2.80551
0.5 0.0652256 -2.79942
0.51 0.0372734 -2.79057
0.52 0.00942339 -2.77898
0.53 -0.0182971 -2.76467
0.54 -0.0458611 -2.74768
0.55 -0.0732419 -2.72803
0.56 -0.100413 -2.70576
0.57 -0.127349 -2.68091
0.58 -0.154023 -2.6535
0.59 -0.18041 -2.62358
0.6 -0.206486 -2.5912
0.61 -0.232226 -2.55639
0.62 -0.257606 -2.5192
0.63 -0.282602 -2.47969
0.64 -0.307192 -2.4379
0.65 -0.331353 -2.39389
